年份,得獎,中文名稱,英文名稱,連結,movieGrading,movieDuration,movieRating,movieComment,movieDirector,movieWriter,movieCast1,movieCast2,movieCast3,movieCast4,movieCast5,movieCast6,movieCast7,movieCast8,movieCast9,movieCast10,movieCast11,movieCast12,movieCast13,movieCast14,movieCast15,movieCast16,movieCast17,movieCast18,movieCountry,Action,Adventure,Biography,Comedy,Crime,Drama,Fantasy,History,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War
2004,1,魔戒三部曲：王者再臨,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=ev_nom,unrated,3h 21m,9,1.9M,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom', 'Noel Appleby', 'Ali Astin', 'Sean Astin', 'David Aston', 'John Bach', 'Sean Bean', 'Cate Blanchett', 'Billy Boyd', 'Sadwyn Brophy', 'Alistair Browning', 'Marton Csokas', 'Richard Edge', 'Jason Fitch', 'Bernard Hill',New Zealand,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2004,0,奔騰年代,Seabiscuit,https://www.imdb.com/title/tt0329575/?ref_=ev_nom,PG-13,2h 20m,7.3,76K,Gary Ross,"Laura Hillenbrand, Gary Ross",Tobey Maguire', 'Jeff Bridges', 'Elizabeth Banks', 'Chris Cooper', 'David McCullough'," ""Paul Vincent O'Connor""", 'Michael Ensign', 'James Keane', 'Valerie Mahaffey', 'David Doty', 'Carl M. Craig'," ""Michael O'Neill""", 'Annie Corley', 'Michael Angarano', 'Cameron Bowen', 'Noah Luke', 'Mariah Bess', 'Jamie Lee Redmon',United States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
2004,0,怒海爭鋒：極地征伐,Master and Commander: The Far Side of the World,https://www.imdb.com/title/tt0311113/?ref_=ev_nom,PG-13,2h 18m,7.5,231K,Peter Weir,"Patrick OBrian, Peter Weir, John Collee",Russell Crowe', 'Paul Bettany', 'Billy Boyd'," ""James D'Arcy""", 'Edward Woodall', 'Chris Larkin', 'Max Pirkis', 'Jack Randall', 'Max Benitz', 'Lee Ingleby', 'Richard Pates', 'Robert Pugh', 'Richard McCabe', 'Ian Mercer', 'Tony Dolan', 'David Threlfall', 'Bryan Dick', 'Joseph Morgan',United States,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2004,0,愛情，不用翻譯,Lost in Translation,https://www.imdb.com/title/tt0335266/?ref_=ev_nom,12+,1h 42m,7.7,473K,Sofia Coppola,Sofia Coppola,Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi', 'Anna Faris', 'Akiko Takeshita', 'Kazuyoshi Minamimagoe', 'Kazuko Shibata', 'Take', 'Ryuichiro Baba', 'Akira Yamaguchi', 'Catherine Lambert', 'Fran癟ois du Bois', 'Tim Leffman', 'Gregory Pekar', 'Richard Allen', 'Diamond Yukai', 'Jun Maki', 'Nao Asuka',United States,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2004,0,神秘河流,Mystic River,https://www.imdb.com/title/tt0327056/?ref_=ev_nom,16+,2h 18m,7.9,472K,Clint Eastwood,"Brian Helgeland, Dennis Lehane",Sean Penn', 'Tim Robbins', 'Kevin Bacon', 'Emmy Rossum', 'Laurence Fishburne', 'Marcia Gay Harden', 'Laura Linney', 'Kevin Chapman', 'Tom Guiry', 'Spencer Treat Clark', 'Andrew Mackin', 'Adam Nelson', 'Robert Wahlberg'," ""Jenny O'Hara""", 'John Doman', 'Cameron Bowen', 'Jason Kelly', 'Connor Paolo',United States,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
2005,1,登峰造擊,Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=ev_nom,PG-12,2h 12m,8.1,706K,Clint Eastwood,"Paul Haggis, F.X. Toole",Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel', 'Mike Colter', 'Lucia Rijker'," ""Br穩an F. O'Byrne""", 'Anthony Mackie', 'Margo Martindale', 'Riki Lindhome', 'Michael Pe簽a', 'Benito Martinez', 'Bruce MacVittie', 'David Powledge'," ""Joe D'Angerio""", 'Marcus Chait', 'Tom McCleister', 'Erica Grant',United States,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2005,0,尋找新方向,Sideways,https://www.imdb.com/title/tt0375063/?ref_=ev_nom,R-18,2h 7m,7.5,198K,Alexander Payne,"Rex Pickett, Alexander Payne, Jim Taylor",Paul Giamatti', 'Thomas Haden Church', 'Virginia Madsen', 'Sandra Oh', 'Marylouise Burke', 'Jessica Hecht', 'Missy Doty', 'M.C. Gainey', 'Alysia Reiner', 'Shake Tukhmanyan', 'Shaun Duke', 'Robert Covarrubias', 'Patrick Gallagher', 'Stephanie Faracy', 'Joe Marinelli', 'Chris Burroughs', 'Toni Howard', 'Khoren Babouchian',United States,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2005,0,尋找新樂園,Finding Neverland,https://www.imdb.com/title/tt0308644/?ref_=ev_nom,GP,1h 46m,7.7,210K,Marc Forster,"Allan Knee, David Magee",Johnny Depp', 'Kate Winslet', 'Julie Christie', 'Radha Mitchell', 'Dustin Hoffman', 'Freddie Highmore', 'Joe Prospero', 'Nick Roud', 'Luke Spill', 'Ian Hart', 'Kelly Macdonald', 'Mackenzie Crook', 'Eileen Essell', 'Jimmy Gardner', 'Oliver Fox', 'Angus Barnett', 'Toby Jones', 'Kate Maberly',United States,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2005,0,神鬼玩家,The Aviator,https://www.imdb.com/title/tt0338751/?ref_=ev_nom,PG-12,2h 50m,7.5,375K,Martin Scorsese,John Logan,Leonardo DiCaprio', 'Cate Blanchett', 'Kate Beckinsale', 'John C. Reilly', 'Alec Baldwin', 'Alan Alda', 'Ian Holm', 'Danny Huston', 'Gwen Stefani', 'Jude Law', 'Adam Scott', 'Matt Ross', 'Kelli Garner', 'Frances Conroy', 'Brent Spiner', 'Stanley DeSantis', 'Edward Herrmann', 'Willem Dafoe',United States,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2005,0,雷之心靈傳奇,Ray,https://www.imdb.com/title/tt0350258/?ref_=ev_nom,PG-12,2h 32m,7.7,154K,Taylor Hackford,"Taylor Hackford, James L. White",Jamie Foxx', 'Regina King', 'Kerry Washington', 'Clifton Powell', 'Harry Lennix', 'Bokeem Woodbine', 'Aunjanue Ellis-Taylor', 'Sharon Warren', 'C.J. Sanders', 'Curtis Armstrong', 'Richard Schiff', 'Larenz Tate', 'Terrence Howard', 'David Krumholtz', 'Wendell Pierce', 'Chris Thomas King', 'Thomas Jefferson Byrd', 'Rick Gomez',United States,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
