¦~¥÷,±o¼ú,¤¤¤å¦WºÙ,­^¤å¦WºÙ,³sµ²
2012,0,Ä~©Ó¤H¥Í,The Descendants,https://www.imdb.com/title/tt1033575/?ref_=ev_nom
2012,0,«BªGªº«_ÀI,Hugo,https://www.imdb.com/title/tt0970179/?ref_=ev_nom
2012,0,Å]²y,Moneyball,https://www.imdb.com/title/tt1210166/?ref_=ev_nom
2013,1,¨ÈªG¥X¥ô°È,Argo,https://www.imdb.com/title/tt1024648/?ref_=ev_nom
2013,0,00:30­â±á±K¥O,Zero Dark Thirty,https://www.imdb.com/title/tt1790885/?ref_=ev_nom
2013,0,«n¤è³¥Ã~¼Ö¶é,Beasts of the Southern Wild,https://www.imdb.com/title/tt2125435/?ref_=ev_nom
2013,0,¤Ö¦~Piªº©_¤Ûº}¬y,Life of Pi,https://www.imdb.com/title/tt0454876/?ref_=ev_nom
2013,0,´dºG¥@¬É,Les Mis_rables,https://www.imdb.com/title/tt1707386/?ref_=ev_nom
2013,0,·R¡D¼},Amour,https://www.imdb.com/title/tt1602620/?ref_=ev_nom
2013,0,ªLªÖ,Lincoln,https://www.imdb.com/title/tt0443272/?ref_=ev_nom
2013,0,¨M±þ¥O,Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=ev_nom
2013,0,¬£¯Sªº©¯ºÖ¼@¥»,Silver Linings Playbook,https://www.imdb.com/title/tt1045658/?ref_=ev_nom
2014,1,¦Û¥Ñ¤§¤ß,12 Years a Slave,https://www.imdb.com/title/tt2024544/?ref_=ev_nom
2014,0,¤º¥¬©Ô´µ¥[,Nebraska,https://www.imdb.com/title/tt1821549/?ref_=ev_nom
2014,0,¦a¤ß¤Þ¤O,Gravity,https://www.imdb.com/title/tt1454468/?ref_=ev_nom
2014,0,«ã®ü§T,Captain Phillips,https://www.imdb.com/title/tt1535109/?ref_=ev_nom
2014,0,¿f¤Ñ¤j§G§½,American Hustle,https://www.imdb.com/title/tt1800241/?ref_=ev_nom
2014,0,µØº¸µó¤§¯T,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=ev_nom
2014,0,ÃÄ©R­Ñ¼Ö³¡,Dallas Buyers Club,https://www.imdb.com/title/tt0790636/?ref_=ev_nom
2014,0,¿ð¨Óªº¦uÅ@ªÌ,Philomena,https://www.imdb.com/title/tt2431286/?ref_=ev_nom
2014,0,¶³ºÝ±¡¤H,Her,https://www.imdb.com/title/tt1798709/?ref_=ev_nom
2015,1,³¾¤H,Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/?ref_=ev_nom
2015,0,¦~¤Ö®É¥N,Boyhood,https://www.imdb.com/title/tt1065073/?ref_=ev_nom
2015,0,·Rªº¸Uª«½×,The Theory of Everything,https://www.imdb.com/title/tt2980516/?ref_=ev_nom
2015,0,¼Ò¥é¹CÀ¸,The Imitation Game,https://www.imdb.com/title/tt2084970/?ref_=ev_nom
2015,0,Åwªï¨Ó¨ì¥¬¹F¨Ø´µ¤j¶º©±,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=ev_nom
2015,0,¬ü°êª®À»¤â,American Sniper,https://www.imdb.com/title/tt2179136/?ref_=ev_nom
2015,0,³v¹Ú¤j¹D,Selma,https://www.imdb.com/title/tt1020072/?ref_=ev_nom
